Dotazník,Věk,Pohlaví,Kraj,Region,Velikost místa bydliště,Vzdělání,Praktikujete orální sex?,Druh sexu a oční kontakt
51,53,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
52,20,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
53,35,Muž,Středočeský,Čechy,Do 1000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
54,25,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
55,61,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
56,37,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
57,35,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt není důležitý
58,44,Muž,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
59,37,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
60,31,Muž,Ústecký,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
61,60,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
62,23,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
63,34,Žena,Jihomoravský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
64,58,Žena,Jihočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
65,47,Žena,Královehradecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
66,25,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
67,43,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
68,32,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
69,56,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
70,35,Muž,Zlínský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
71,31,Žena,Olomoucký,Morava,Do 1000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
72,30,Muž,Plzeňský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
73,39,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,anální styk – oční kontakt není důležitý
74,62,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,jinou
75,25,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
76,65,Muž,Olomoucký,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
77,38,Žena,Karlovarský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
78,52,Muž,Zlínský,Morava,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
79,64,Muž,Vysočina,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
80,65,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,jinou
81,43,Žena,Královehradecký,Čechy,5 001 až 20 000 obyvatel,SŠ,nevím nebo si nevzpomínám,orální sex – oční kontakt není důležitý
82,28,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
83,35,Žena,Plzeňský,Čechy,1 001 až 5 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
84,26,Žena,Jihočeský,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
85,38,Žena,Olomoucký,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
86,37,Žena,Královehradecký,Čechy,Do 1000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
87,23,Muž,Zlínský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
88,29,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
89,39,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
90,43,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,VŠ,nevím nebo si nevzpomínám,anální styk – oční kontakt je důležitý
91,48,Žena,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
92,30,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
93,29,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
94,49,Muž,Ústecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
95,25,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
96,45,Žena,Ústecký,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
97,60,Muž,Liberecký,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
98,63,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
99,31,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
100,57,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
101,44,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
102,65,Žena,Zlínský,Morava,Do 1000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
103,56,Muž,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
104,27,Žena,Jihočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
105,27,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
106,50,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
107,63,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
108,47,Žena,Zlínský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
109,50,Muž,Karlovarský,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
110,30,Žena,Vysočina,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
111,35,Muž,Jihomoravský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
112,35,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
113,51,Žena,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
114,37,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,nevím nebo si nevzpomínám,jinou
115,62,Žena,Liberecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
116,40,Žena,Zlínský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
117,20,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,ZŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
118,42,Muž,Olomoucký,Morava,Více než 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
119,23,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,jinou
120,47,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
121,33,Muž,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
122,45,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
123,41,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
124,39,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
125,56,Muž,Ústecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
126,39,Muž,Jihomoravský,Morava,20 001 až 100 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
127,25,Žena,Jihomoravský,Morava,Do 1000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
128,41,Muž,Jihočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
129,28,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
130,62,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
131,48,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
132,47,Žena,Zlínský,Morava,20 001 až 100 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
133,52,Žena,Královehradecký,Čechy,1 001 až 5 000 obyvatel,SŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
134,48,Muž,Vysočina,Čechy,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
135,29,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
136,47,Muž,Pardubický,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,jinou
137,64,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
138,40,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
139,27,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
140,54,Muž,Jihomoravský,Morava,5 001 až 20 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
141,26,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
142,36,Muž,Královehradecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
143,34,Žena,Olomoucký,Morava,Více než 100 000 obyvatel,VŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
144,55,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,ZŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
145,25,Žena,Zlínský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
146,53,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
147,51,Žena,Zlínský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
148,59,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
149,45,Muž,Vysočina,Čechy,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
150,36,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,ZŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
151,27,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
152,52,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
153,56,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
154,43,Žena,Plzeňský,Čechy,Do 1000 obyvatel,ZŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
155,32,Žena,Olomoucký,Morava,5 001 až 20 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
156,27,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
157,46,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
158,36,Žena,Královehradecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
159,32,Žena,Pardubický,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
160,30,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
161,31,Žena,Jihomoravský,Morava,5 001 až 20 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
162,62,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
163,47,Muž,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
164,34,Žena,Středočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
165,28,Muž,Liberecký,Čechy,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
166,36,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
167,36,Žena,Královehradecký,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
168,32,Žena,Jihomoravský,Morava,Do 1000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
169,65,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
170,41,Muž,Pardubický,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
171,65,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt je důležitý
172,25,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
173,38,Muž,Pardubický,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
174,57,Žena,Moravskoslezský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
