Form ID,Age,Sex,Admin region,Historical region,Resident population,Education,Do you engage in oral sex?,Kind of sex and eye contact
92,30,Female,South Moravian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
93,29,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is not important
94,49,Male,Usti nad Labem,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
95,25,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
96,45,Female,Usti nad Labem,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
97,60,Male,Liberec,Bohemia,20 001 to 100 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
98,63,Female,Prague,Prague,100 001 and above,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
99,31,Female,South Moravian,Moravia,1 001 to 5 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
100,57,Male,Moravian-Silesian,Moravia,100 001 and above,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
101,44,Female,Prague,Prague,100 001 and above,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
102,65,Female,Zlin,Moravia,Up to 1 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
103,56,Male,Central Bohemian,Bohemia,Up to 1 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
104,27,Female,South Bohemian,Bohemia,Up to 1 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
105,27,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
106,50,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
107,63,Female,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,No – and I had no vaginal/anal sex,Other
108,47,Female,Zlin,Moravia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
109,50,Male,Karlovy Vary,Bohemia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
110,30,Female,Vysocina,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
111,35,Male,South Moravian,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
112,35,Male,Moravian-Silesian,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
113,51,Female,Central Bohemian,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
114,37,Female,Prague,Prague,100 001 and above,University,I don’t know/remember,Other
115,62,Female,Liberec,Bohemia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
116,40,Female,Zlin,Moravia,1 001 to 5 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
117,20,Male,Central Bohemian,Bohemia,1 001 to 5 000,Elementary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
118,42,Male,Olomouc,Moravia,100 001 and above,Elementary,Yes – because we both equally wanted to,Oral sex – eye contact is important
119,23,Female,Moravian-Silesian,Moravia,1 001 to 5 000,Apprenticeship,I don’t know/remember,Other
120,47,Female,South Moravian,Moravia,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
121,33,Male,Moravian-Silesian,Moravia,5 001 to 20 000,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
122,45,Male,South Moravian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
123,41,Female,Moravian-Silesian,Moravia,100 001 and above,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
124,39,Male,Prague,Prague,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
125,56,Male,Usti nad Labem,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
126,39,Male,South Moravian,Moravia,20 001 to 100 000,University,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
127,25,Female,South Moravian,Moravia,Up to 1 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
128,41,Male,South Bohemian,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Other
129,28,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
130,62,Male,South Moravian,Moravia,1 001 to 5 000,University,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
131,48,Male,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
132,47,Female,Zlin,Moravia,20 001 to 100 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
133,52,Female,Hradec Kralove,Bohemia,1 001 to 5 000,Secondary,I don’t know/remember,Vaginal sex – eye contact is important
134,48,Male,Vysocina,Bohemia,1 001 to 5 000,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
135,29,Male,Moravian-Silesian,Moravia,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
136,47,Male,Pardubice,Bohemia,20 001 to 100 000,Apprenticeship,I don’t know/remember,Other
137,64,Female,South Moravian,Moravia,1 001 to 5 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
138,40,Male,South Moravian,Moravia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
139,27,Male,South Moravian,Moravia,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
140,54,Male,South Moravian,Moravia,5 001 to 20 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
141,26,Male,Central Bohemian,Bohemia,5 001 to 20 000,University,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
142,36,Male,Hradec Kralove,Bohemia,20 001 to 100 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
143,34,Female,Olomouc,Moravia,100 001 and above,University,I don’t know/remember,Vaginal sex – eye contact is important
144,55,Female,Moravian-Silesian,Moravia,100 001 and above,Elementary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
145,25,Female,Zlin,Moravia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
146,53,Male,Plzen,Bohemia,100 001 and above,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
147,51,Female,Zlin,Moravia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
148,59,Female,Prague,Prague,100 001 and above,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
149,45,Male,Vysocina,Bohemia,Up to 1 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
150,36,Male,Moravian-Silesian,Moravia,100 001 and above,Elementary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
151,27,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
152,52,Female,Central Bohemian,Bohemia,5 001 to 20 000,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
153,56,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
154,43,Female,Plzen,Bohemia,Up to 1 000,Elementary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
155,32,Female,Olomouc,Moravia,5 001 to 20 000,University,Yes – because we both equally wanted to,Oral sex – eye contact is not important
156,27,Female,Prague,Prague,100 001 and above,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
157,46,Female,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
158,36,Female,Hradec Kralove,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
159,32,Female,Pardubice,Bohemia,20 001 to 100 000,Apprenticeship,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
160,30,Female,Moravian-Silesian,Moravia,1 001 to 5 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
161,31,Female,South Moravian,Moravia,5 001 to 20 000,University,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
162,62,Male,Plzen,Bohemia,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
163,47,Male,Moravian-Silesian,Moravia,1 001 to 5 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is important
164,34,Female,Central Bohemian,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
165,28,Male,Liberec,Bohemia,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
166,36,Male,Central Bohemian,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
167,36,Female,Hradec Kralove,Bohemia,Up to 1 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
168,32,Female,South Moravian,Moravia,Up to 1 000,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
169,65,Female,Prague,Prague,100 001 and above,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is not important
170,41,Male,Pardubice,Bohemia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
171,65,Female,Prague,Prague,100 001 and above,Secondary,Yes – mostly because my partner initiated it,Oral sex – eye contact is important
172,25,Male,Prague,Prague,100 001 and above,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
173,38,Male,Pardubice,Bohemia,5 001 to 20 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
174,57,Female,Moravian-Silesian,Moravia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is not important
175,41,Female,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
176,56,Female,Prague,Prague,100 001 and above,Apprenticeship,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
177,47,Male,South Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
178,46,Male,Hradec Kralove,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
179,22,Male,Central Bohemian,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
180,20,Male,South Bohemian,Bohemia,5 001 to 20 000,Elementary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
181,57,Female,Liberec,Bohemia,100 001 and above,University,No – and I had no vaginal/anal sex,Oral sex – eye contact is not important
182,38,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
183,60,Female,Plzen,Bohemia,20 001 to 100 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
184,42,Male,Vysocina,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
185,29,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
186,47,Female,Hradec Kralove,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
187,32,Female,Prague,Prague,100 001 and above,University,Yes – because we both equally wanted to,Oral sex – eye contact is important
188,29,Male,Central Bohemian,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
189,25,Male,Hradec Kralove,Bohemia,20 001 to 100 000,University,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
190,65,Male,South Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
191,25,Female,Plzen,Bohemia,5 001 to 20 000,Secondary,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
192,55,Male,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because I initiated it,Oral sex – eye contact is important
193,44,Female,Prague,Prague,100 001 and above,Secondary,Yes – because we both equally wanted to,Oral sex – eye contact is important
194,48,Male,Liberec,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is not important
195,20,Female,South Bohemian,Bohemia,20 001 to 100 000,Elementary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
196,19,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Elementary,No – and I had no vaginal/anal sex,Oral sex – eye contact is important
197,65,Male,South Moravian,Moravia,5 001 to 20 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
198,38,Male,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
199,37,Male,South Moravian,Moravia,Up to 1 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
200,63,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
201,22,Male,Prague,Prague,100 001 and above,Secondary,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
202,28,Female,Pardubice,Bohemia,20 001 to 100 000,University,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
203,26,Female,Moravian-Silesian,Moravia,100 001 and above,Apprenticeship,No – although I had a vaginal/anal sex,Vaginal sex – eye contact is important
204,65,Female,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,No – and I had no vaginal/anal sex,Vaginal sex – eye contact is important
205,39,Male,Plzen,Bohemia,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
206,55,Male,Usti nad Labem,Bohemia,5 001 to 20 000,Apprenticeship,Yes – because we both equally wanted to,Oral sex – eye contact is important
207,42,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because I initiated it,Vaginal sex – eye contact is important
208,38,Female,Central Bohemian,Bohemia,1 001 to 5 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
209,60,Male,South Moravian,Moravia,1 001 to 5 000,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is not important
210,24,Male,Karlovy Vary,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
211,45,Male,Plzen,Bohemia,1 001 to 5 000,Apprenticeship,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
212,53,Female,Central Bohemian,Bohemia,5 001 to 20 000,Secondary,I don’t know/remember,Other
213,64,Female,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because my partner initiated it,Oral sex – eye contact is not important
214,46,Male,Pardubice,Bohemia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
215,63,Male,Moravian-Silesian,Moravia,20 001 to 100 000,Secondary,I don’t know/remember,Vaginal sex – eye contact is important
216,48,Female,Zlin,Moravia,5 001 to 20 000,Apprenticeship,I don’t know/remember,Vaginal sex – eye contact is important
217,51,Male,South Moravian,Moravia,100 001 and above,University,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
218,48,Male,Usti nad Labem,Bohemia,20 001 to 100 000,Apprenticeship,Yes – mostly because I initiated it,Oral sex – eye contact is not important
219,65,Female,Prague,Prague,100 001 and above,Apprenticeship,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
220,36,Female,South Moravian,Moravia,1 001 to 5 000,Secondary,Yes – because we both equally wanted to,Vaginal sex – eye contact is important
221,20,Male,Prague,Prague,100 001 and above,Elementary,Yes – mostly because I initiated it,Oral sex – eye contact is not important
222,38,Female,Prague,Prague,100 001 and above,University,Yes – mostly because I initiated it,Vaginal sex – eye contact is not important
223,43,Female,Usti nad Labem,Bohemia,20 001 to 100 000,Secondary,Yes – mostly because my partner initiated it,Vaginal sex – eye contact is important
